kode_kabupaten_kota,nama_kabupaten_kota,persentase_pemberian_asi,tahun
3201,Bogor,45.52,2018
3202,Sukabumi,73.82,2018
3203,Cianjur,46.94,2018
3204,Bandung,27.58,2018
3205,Garut,22.09,2018
3206,Tasikmalaya,100.0,2018
3207,Ciamis,48.22,2018
3208,Kuningan,0.0,2018
3209,Cirebon,55.26,2018
3210,Majalengka,85.36,2018
3211,Sumedang,62.84,2018
3212,Indramayu,29.14,2018
3213,Subang,61.33,2018
3214,Purwakarta,41.29,2018
3215,Karawang,18.5,2018
3216,Bekasi,29.62,2018
3217,Bandung Barat,55.11,2018
3218,Pangandaran,87.86,2018
3271,Kota Bogor,49.95,2018
3272,Kota Sukabumi,65.16,2018
3273,Kota Bandung,44.01,2018
3274,Kota Cirebon,49.39,2018
3275,Kota Bekasi,15.68,2018
3276,Kota Depok,32.36,2018
3277,Kota Cimahi,17.33,2018
3278,Kota Tasikmalaya,56.01,2018
3279,Banjar,43.18,2018
3201,Bogor,53.12,2019
3202,Sukabumi,57.15,2019
3203,Cianjur,68.78,2019
3204,Bandung,63.84,2019
3205,Garut,74.32,2019
3206,Tasikmalaya,66.77,2019
3207,Ciamis,45.96,2019
3208,Kuningan,74.92,2019
3209,Cirebon,71.8,2019
3210,Majalengka,76.66,2019
3211,Sumedang,78.66,2019
3212,Indramayu,57.68,2019
3213,Subang,48.94,2019
3214,Purwakarta,56.56,2019
3215,Karawang,60.49,2019
3216,Bekasi,56.95,2019
3217,Bandung Barat,72.12,2019
3218,Pangandaran,90.33,2019
3271,Kota Bogor,54.74,2019
3272,Kota Sukabumi,77.39,2019
3273,Kota Bandung,68.41,2019
3274,Kota Cirebon,100.0,2019
3275,Kota Bekasi,33.81,2019
3276,Kota Depok,66.43,2019
3277,Kota Cimahi,47.73,2019
3278,Kota Tasikmalaya,68.31,2019
3279,Banjar,83.18,2019
3201,Bogor,51.06,2020
3202,Sukabumi,71.11,2020
3203,Cianjur,71.03,2020
3204,Bandung,63.25,2020
3205,Garut,68.7,2020
3206,Tasikmalaya,75.8,2020
3207,Ciamis,98.82,2020
3208,Kuningan,76.67,2020
3209,Cirebon,72.39,2020
3210,Majalengka,100.0,2020
3211,Sumedang,82.08,2020
3212,Indramayu,62.82,2020
3213,Subang,53.71,2020
3214,Purwakarta,62.19,2020
3215,Karawang,68.15,2020
3216,Bekasi,65.53,2020
3217,Bandung Barat,72.12,2020
3218,Pangandaran,84.84,2020
3271,Kota Bogor,53.71,2020
3272,Kota Sukabumi,77.39,2020
3273,Kota Bandung,56.67,2020
3274,Kota Cirebon,72.06,2020
3275,Kota Bekasi,47.03,2020
3276,Kota Depok,68.49,2020
3277,Kota Cimahi,76.47,2020
3278,Kota Tasikmalaya,68.31,2020
3279,Banjar,81.72,2020
