nama_kabupaten_kota,kode_kabupaten_kota,tahun,jumlah_anak_stunting
Bandung,3204,2019,1579
Bandung,3204,2020,2084
Bandung,3204,2021,2080
Bandung Barat,3217,2019,337
Bandung Barat,3217,2020,388
Bandung Barat,3217,2021,444
Bekasi,3216,2019,289
Bekasi,3216,2020,1145
Bekasi,3216,2021,1041
Bogor,3201,2019,1107
Bogor,3201,2020,1086
Bogor,3201,2021,1226
Ciamis,3207,2019,634
Ciamis,3207,2020,777
Ciamis,3207,2021,1168
Cianjur,3203,2019,809
Cianjur,3203,2020,794
Cianjur,3203,2021,732
Cirebon,3209,2019,1060
Cirebon,3209,2020,1222
Cirebon,3209,2021,1790
Garut,3205,2019,1160
Garut,3205,2020,1136
Garut,3205,2021,1525
Indramayu,3212,2019,408
Indramayu,3212,2020,333
Indramayu,3212,2021,358
Karawang,3215,2019,498
Karawang,3215,2020,496
Karawang,3215,2021,601
Kuningan,3208,2019,638
Kuningan,3208,2020,617
Kuningan,3208,2021,351
Majalengka,3210,2019,635
Majalengka,3210,2020,731
Majalengka,3210,2021,699
Pangandaran,3218,2019,214
Pangandaran,3218,2020,313
Pangandaran,3218,2021,474
Purwakarta,3214,2019,748
Purwakarta,3214,2020,944
Purwakarta,3214,2021,1070
Subang,3213,2019,981
Subang,3213,2020,769
Subang,3213,2021,1420
Sukabumi,3202,2019,1838
Sukabumi,3202,2020,2093
Sukabumi,3202,2021,2514
Sumedang,3211,2019,798
Sumedang,3211,2020,967
Sumedang,3211,2021,1211
Tasikmalaya,3206,2019,1054
Tasikmalaya,3206,2020,1873
Tasikmalaya,3206,2021,1995
Banjar,3279,2019,1
Banjar,3279,2020,50
Banjar,3279,2021,73
